[INFO ] 2021-05-09 15:23:35,130 Main.doMain() - Valid execution mode 'gui' for VISAB detected
[INFO ] 2021-05-09 15:23:35,132 Main.doMain() - Starting VISAB as a GUI application.
[DEBUG] 2021-05-09 15:24:25,927 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 34 entries now.
[DEBUG] 2021-05-09 15:24:26,028 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 35 entries now.
[DEBUG] 2021-05-09 15:24:26,130 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 36 entries now.
[DEBUG] 2021-05-09 15:24:26,234 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 37 entries now.
[DEBUG] 2021-05-09 15:24:26,336 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 38 entries now.
[DEBUG] 2021-05-09 15:24:26,437 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 39 entries now.
[DEBUG] 2021-05-09 15:24:26,540 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 40 entries now.
[DEBUG] 2021-05-09 15:24:26,641 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 41 entries now.
[DEBUG] 2021-05-09 15:24:26,744 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 42 entries now.
[DEBUG] 2021-05-09 15:24:26,845 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 43 entries now.
[DEBUG] 2021-05-09 15:24:26,947 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 44 entries now.
[DEBUG] 2021-05-09 15:24:27,049 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 45 entries now.
[DEBUG] 2021-05-09 15:24:27,151 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 46 entries now.
[DEBUG] 2021-05-09 15:24:27,253 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 47 entries now.
[DEBUG] 2021-05-09 15:24:27,355 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 48 entries now.
[DEBUG] 2021-05-09 15:24:27,457 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 49 entries now.
[DEBUG] 2021-05-09 15:24:27,558 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 50 entries now.
[DEBUG] 2021-05-09 15:24:27,662 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 51 entries now.
[DEBUG] 2021-05-09 15:24:27,764 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 52 entries now.
[DEBUG] 2021-05-09 15:24:27,866 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 53 entries now.
[DEBUG] 2021-05-09 15:24:27,967 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 54 entries now.
[DEBUG] 2021-05-09 15:24:28,069 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 55 entries now.
[DEBUG] 2021-05-09 15:24:28,172 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 56 entries now.
[DEBUG] 2021-05-09 15:24:28,274 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 57 entries now.
[DEBUG] 2021-05-09 15:24:28,375 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 58 entries now.
[DEBUG] 2021-05-09 15:24:28,476 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 59 entries now.
[DEBUG] 2021-05-09 15:24:28,578 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 60 entries now.
[DEBUG] 2021-05-09 15:24:28,681 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 61 entries now.
[DEBUG] 2021-05-09 15:24:28,782 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 62 entries now.
[DEBUG] 2021-05-09 15:24:28,884 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 63 entries now.
[DEBUG] 2021-05-09 15:24:28,985 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 64 entries now.
[DEBUG] 2021-05-09 15:24:29,087 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 65 entries now.
[DEBUG] 2021-05-09 15:24:29,188 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 66 entries now.
[DEBUG] 2021-05-09 15:24:29,290 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 67 entries now.
[DEBUG] 2021-05-09 15:24:29,392 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 68 entries now.
[DEBUG] 2021-05-09 15:24:29,495 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 69 entries now.
[DEBUG] 2021-05-09 15:24:29,596 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 70 entries now.
[DEBUG] 2021-05-09 15:24:29,699 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 71 entries now.
[DEBUG] 2021-05-09 15:24:29,800 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 72 entries now.
[DEBUG] 2021-05-09 15:24:29,902 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 73 entries now.
[DEBUG] 2021-05-09 15:24:30,003 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 74 entries now.
